1079,Idimuzhakkam (1980),1980,,0
1080,Pavizhamuthu (1980),1980,,0
1081,Chandrabimbam (1980),1980,,0
1082,Dooram Arike (1980),1980,,0
1083,Laava (1980),1980,,0
1079,Idimuzhakkam (1980),1980,,0
1080,Pavizhamuthu (1980),1980,,0
1081,Chandrabimbam (1980),1980,,0
1082,Dooram Arike (1980),1980,,0
1083,Laava (1980),1980,,0
1084,Puzha (1980),1980,1980-05-09,0
1085,Cheriyaachante Kroorakrithyangal (1980),1980,,0
1086,Shakthi (1980),1980,1980-08-22,91
1087,Vazhimaariya Paravakal (1980),1980,,0
1088,Makaravilakku (1980),1980,1980-04-01,0
1079,Idimuzhakkam (1980),1980,,0
1080,Pavizhamuthu (1980),1980,,0
1081,Chandrabimbam (1980),1980,,0
1082,Dooram Arike (1980),1980,,0
1083,Laava (1980),1980,,0
1084,Puzha (1980),1980,1980-05-09,0
1085,Cheriyaachante Kroorakrithyangal (1980),1980,,0
1086,Shakthi (1980),1980,1980-08-22,91
1087,Vazhimaariya Paravakal (1980),1980,,0
1088,Makaravilakku (1980),1980,1980-04-01,0
1089,Vilkkanundu Swapnangal (1980),1980,1981-04-24,87
1090,Oru Varsham Oru Maasam (1980),1980,,0
1091,Thirayum Theeravum (1980),1980,,0
1092,Sishirathil Oru Vasantham (1980),1980,,0
1093,Pappu (1980),1980,,0
1094,Raagam Thaanam Pallavi (1980),1980,1980-09-26,0
1095,Akalangalil Abhayam (1980),1980,1980-05-16,0
1096,Paalaattu Kunjikkannan (1980),1980,,82
1097,Ithile Vannavar (1980),1980,,0
1098,Angaadi (1980),1980,,73
1099,Sankaraabharanam (1980),1980,,89
1100,Love in Singapore (1980),1980,,85
1101,Sooryante Maranam (1980),1980,,0
1102,Moorkhan (1980),1980,,75
1103,Ormakale Vida Tharoo (1980),1980,,0
